Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,"Hi, Mom","$822,049,587",-,-,"$822,049,587",100%
2,Detective Chinatown 3,"$686,257,563",-,-,"$686,257,563",100%
3,Godzilla vs. Kong,"$427,171,061","$95,071,061",22.3%,"$332,100,000",77.7%
4,A Writer's Odyssey,"$149,528,951","$133,527",<0.1%,"$149,395,424",99.9%
5,Impasse,"$147,533,292","$107,364",<0.1%,"$147,425,928",99.9%
6,Sister,"$128,290,899",-,-,"$128,290,899",100%
7,My Love,"$113,129,554",-,-,"$113,129,554",100%
8,Tom and Jerry,"$111,212,158","$45,212,158",40.7%,"$66,000,000",59.3%
9,Raya and the Last Dragon,"$109,513,558","$46,498,824",42.5%,"$63,014,734",57.5%
10,Endgame,"$91,815,762","$23,149",<0.1%,"$91,792,613",100%
11,Boonie Bears: The Wild Life,"$77,725,611",-,-,"$77,725,611",100%
12,Mortal Kombat,"$76,715,039","$39,915,039",52%,"$36,800,000",48%
13,Evangelion: 3.0+1.0 Thrice Upon a Time,"$74,278,336",-,-,"$74,278,336",100%
14,Detective Conan: The Scarlet Bullet,"$64,644,611",-,-,"$64,644,611",100%
15,Avatar 2021 Re-release,"$57,566,409",-,-,"$57,566,409",100%
16,Wrath of Man,"$56,949,154","$15,549,154",27.3%,"$41,400,000",72.7%
17,Nezha Reborn,"$56,088,478",-,-,"$56,088,478",100%
18,Break Through the Darkness,"$52,700,000",-,-,"$52,700,000",100%
19,Nobody,"$45,492,910","$25,392,910",55.8%,"$20,100,000",44.2%
20,The Yinyang Master,"$37,690,000",-,-,"$37,690,000",100%
21,I Fell in Love Like A Flower Bouquet,"$34,422,973",-,-,"$34,422,973",100%
22,Big Red Envelope,"$32,800,000",-,-,"$32,800,000",100%
23,Home Sweet Home,"$32,174,403",-,-,"$32,174,403",100%
24,Once Upon a Time in Hong Kong,"$31,940,412",-,-,"$31,940,412",100%
25,The Little Things,"$29,844,012","$15,244,012",51.1%,"$14,600,000",48.9%
26,Master,"$28,692,230",-,-,"$28,692,230",100%
27,The Last Warrior: Root of Evil,"$28,354,705",-,-,"$28,354,705",100%
28,The Unholy,"$26,370,577","$14,870,577",56.4%,"$11,500,000",43.6%
29,The Marksman,"$22,500,221","$15,566,093",69.2%,"$6,934,128",30.8%
30,Peter Rabbit 2: The Runaway,"$22,069,638",-,-,"$22,069,638",100%
31,Chaos Walking,"$21,887,908","$13,287,908",60.7%,"$8,600,000",39.3%
32,Rurouni Kenshin: Final Chapter Part I - The Final,"$21,300,000",-,-,"$21,300,000",100%
33,Wish Dragon,"$21,120,000",-,-,"$21,120,000",100%
34,The Dry,"$17,176,511",-,-,"$17,176,511",100%
35,Bo Gia,"$17,130,489",-,-,"$17,130,489",100%
36,Gintama: The Final,"$16,971,401",-,-,"$16,971,401",100%
37,Upon the Magic Roads,"$15,990,882",-,-,"$15,990,882",100%
38,Man in Love,"$13,300,000",-,-,"$13,300,000",100%
39,Minari,"$13,271,616","$2,964,816",22.3%,"$10,306,800",77.7%
40,Vakeel Saab,"$13,056,490",-,-,"$13,056,490",100%
41,Monkey King Reborn,"$13,000,000",-,-,"$13,000,000",100%
42,Spiral,"$11,613,568","$10,689,427",92%,"$924,141",8%
43,The Courier,"$10,901,861","$6,474,322",59.4%,"$4,427,539",40.6%
44,Krack,"$10,442,916",-,-,"$10,442,916",100%
45,Meitantei Conan: Hiiro no fuzai shômei,"$10,308,627",-,-,"$10,308,627",100%
46,"Caution, Hazardous Wife: The Movie","$10,279,120",-,-,"$10,279,120",100%
47,Ji hun,"$9,600,000",-,-,"$9,600,000",100%
48,Nomadland,"$9,139,868","$2,143,000",23.4%,"$6,996,868",76.6%
49,The Eleventh Chapter,"$8,845,525",-,-,"$8,845,525",100%
50,The Lord of the Rings: The Fellowship of the Ring 2021 Re-release,"$8,377,569",-,-,"$8,377,569",100%
51,Those Who Wish Me Dead,"$7,231,382","$2,831,382",39.2%,"$4,400,000",60.8%
52,Couple from the Future,"$7,160,729",-,-,"$7,160,729",100%
53,Dad,"$7,106,607",-,-,"$7,106,607",100%
54,Lat Mat 5: 48H,"$6,781,370",-,-,"$6,781,370",100%
55,Judas and the Black Messiah,"$6,446,607","$5,446,607",84.5%,"$1,000,000",15.5%
56,Signal: The Movie,"$6,340,996",-,-,"$6,340,996",100%
57,Penguin Bloom,"$6,248,836",-,-,"$6,248,836",100%
58,August Never Ends,"$6,200,000",-,-,"$6,200,000",100%
59,Brave: Gunjyo Senki,"$5,677,186",-,-,"$5,677,186",100%
60,Suicide Forest Village,"$5,584,171",-,-,"$5,584,171",100%
61,Octonauts: The Ring of Fire,"$5,385,130",-,-,"$5,385,130",100%
62,Kiba: The Fangs of Fiction,"$5,283,305",-,-,"$5,283,305",100%
63,Red,"$4,920,261",-,-,"$4,920,261",100%
64,Under the Open Sky,"$4,702,781",-,-,"$4,702,781",100%
65,Palma,"$4,612,464",-,-,"$4,612,464",100%
66,The Relatives,"$4,300,000",-,-,"$4,300,000",100%
67,Boogie,"$4,191,023","$4,178,620",99.7%,"$12,403",0.3%
68,Separation,"$4,128,490","$4,128,490",100%,-,-
69,Seobok,"$4,119,613",-,-,"$4,119,613",100%
70,The Lord of the Rings: The Two Towers 2021 Re-release,"$4,084,695",-,-,"$4,084,695",100%
71,Major Grom: Plague Doctor,"$3,950,447",-,-,"$3,950,447",100%
72,Voyagers,"$3,946,820","$3,149,935",79.8%,"$796,885",20.2%
73,Chernobyl: Abyss,"$3,902,068",-,-,"$3,902,068",100%
74,Karnan,"$3,817,585",-,-,"$3,817,585",100%
75,77 Heartwarmings,"$3,800,000",-,-,"$3,800,000",100%
76,Wrong Turn,"$3,774,082","$1,251,184",33.2%,"$2,522,898",66.8%
77,The Mauritanian,"$3,628,817","$836,536",23.1%,"$2,792,281",76.9%
78,Girls und Panzer das Finale: Part III,"$3,578,578",-,-,"$3,578,578",100%
79,The Lord of the Rings: The Return of the King 2021 Re-release,"$3,573,925",-,-,"$3,573,925",100%
80,Mission Possible,"$3,563,279",-,-,"$3,563,279",100%
81,Tomorrow Will Be Fine,"$3,520,000",-,-,"$3,520,000",100%
82,The Sun Does Not Move,"$3,483,187",-,-,"$3,483,187",100%
83,F9,"$3,400,000",-,-,"$3,400,000",100%
84,Después de Ti,"$3,162,778",-,-,"$3,162,778",100%
85,The Girl Who Believes in Miracles,"$3,070,325","$3,070,325",100%,-,-
86,Land,"$2,845,611","$2,577,830",90.6%,"$267,781",9.4%
87,The Book of Fish,"$2,622,158",-,-,"$2,622,158",100%
88,High Ground,"$2,422,865",-,-,"$2,422,865",100%
89,Roohi,"$2,306,525",-,-,"$2,306,525",100%
90,Mumbai Saga,"$2,243,073",-,-,"$2,243,073",100%
91,Yakuza and the Family,"$2,168,905",-,-,"$2,168,905",100%
92,30 Rojullo Preminchadam Ela?,"$2,088,571",-,-,"$2,088,571",100%
93,The Night Beyond the Tricornered Window,"$2,081,564",-,-,"$2,081,564",100%
94,One Second Champion,"$2,081,126",-,-,"$2,081,126",100%
95,Here Today,"$2,076,479","$2,076,479",100%,-,-
96,Recalled,"$1,950,100",-,-,"$1,950,100",100%
97,Alludu Adhurs,"$1,915,032",-,-,"$1,915,032",100%
98,Ensemble Stars!! Es Music Garden Delay Viewing,"$1,905,644",-,-,"$1,905,644",100%
99,The Con-Heartist,"$1,629,745",-,-,"$1,629,745",100%
100,Juega Conmigo,"$1,548,495",-,-,"$1,548,495",100%
101,French Exit,"$1,515,046","$693,703",45.8%,"$821,343",54.2%
102,Boss Level,"$1,481,124",-,-,"$1,481,124",100%
103,La La Land 2020 Re-release,"$1,456,649",-,-,"$1,456,649",100%
104,Eeswaran,"$1,413,760",-,-,"$1,413,760",100%
105,Endless Rain,"$1,402,785","$6,708",0.5%,"$1,396,077",99.5%
106,Together Together,"$1,373,975","$1,373,975",100%,-,-
107,New Year Blues,"$1,344,633",-,-,"$1,344,633",100%
108,Finding You,"$1,332,553","$1,161,538",87.2%,"$171,015",12.8%
